,Importance
cp,0.15739173079046803
thalach,0.11749102165787942
oldpeak,0.11339892054219698
thal,0.10706190764739959
chol,0.08713060707926566
ca,0.08607773208671142
age,0.07775902877454743
trestbps,0.07412684133167811
slope,0.05945422596003248
exang,0.0576553064260043
sex,0.030451796357592528
restecg,0.02211229672808168
fbs,0.009888584618142262
