,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.8032786885245902,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.8690476190476191
Decision Tree,0.7049180327868853,0.7027027027027027,0.7878787878787878,0.7428571428571429,0.6975108225108225
Random Forest,0.8360655737704918,0.7804878048780488,0.9696969696969697,0.8648648648648649,0.9090909090909092
Feedforward Neural Network,0.7213114754098361,0.7105263157894737,0.8181818181818182,0.7605633802816901,0.8354978354978355
